Interval=,0.1 s,,,,,,,
ExcelDateTime=,4.43E+04,47:56.7,,,,,,
TimeFormat=,StartOfBlock,,,,,,,
DateFormat=,,,,,,,,
ChannelTitle=,Finger Pressure,Systolic,Mean Arterial,Diastolic,Heart Rate,DCS 1cm,DCS 3cm,
Range=,400 mmHg,400 mmHg,400 mmHg,400 mmHg,400 beats/min,400 BFI,400 BFI,
29.8,91.95,150,102,86,73,2.75E-09,5.51E-09,
29.9,91.95,150,102,86,73,2.55E-09,4.49E-09,
30,91.2,150,102,86,73,2.51E-09,3.70E-09,
30.1,135.1,150,102,86,73,3.84E-09,6.78E-09,
30.2,119.3,150,102,86,73,5.83E-09,1.13E-08,
30.3,105.55,150,102,86,73,3.86E-09,7.52E-09,
30.4,110.35,150,102,86,73,3.12E-09,5.86E-09,
30.5,99.4,150,102,86,73,3.35E-09,4.93E-09,
30.6,93.7,150.3,102.4,86.4,73.3,3.01E-09,3.87E-09,
30.7,92.1,153,106,90,76,2.66E-09,4.45E-09,
30.8,93.3,153,106,90,76,2.41E-09,4.00E-09,
30.9,140.95,153,106,90,76,5.35E-09,1.24E-08,
31,121.65,153,106,90,76,5.75E-09,1.09E-08,
31.1,108.35,153.95,106,90,76,3.86E-09,4.36E-09,
31.2,111.4,154,106,90,76,2.41E-09,4.06E-09,
31.3,100.1,154,106,90,76,3.18E-09,5.60E-09,
31.4,94.1,154,106,90,76,3.09E-09,3.48E-09,
31.5,92.75,154,106,90,76,2.44E-09,4.21E-09,
31.6,89.7,154,106,90,76,1.93E-09,2.86E-09,
31.7,121.45,154,106,90,76,3.21E-09,7.36E-09,
31.8,132.5,154,106,90,76,6.50E-09,1.47E-08,
31.9,115.4,153.75,106,90,76,4.34E-09,1.22E-08,
32,108.55,153,106,90,76,3.17E-09,5.01E-09,
32.1,106.1,153,106,90,76,1.71E-09,3.98E-09,
32.2,95.95,153,106,90,76,2.42E-09,3.92E-09,
32.3,93.35,153,106,90,76,2.71E-09,4.19E-09,
32.4,91.9,153,106,90,76,2.06E-09,2.80E-09,
32.5,90.2,153,106,90,76,1.76E-09,4.17E-09,
32.6,137.65,153,106,90,76,3.43E-09,4.51E-09,
32.7,121.75,153,106,90,76,6.18E-09,1.13E-08,
32.8,108.3,153,106,90,76,3.77E-09,5.19E-09,
32.9,109.8,153,106,90,76,2.45E-09,5.36E-09,
33,99.1,148.75,106.85,90,71.75,3.13E-09,5.76E-09,
33.1,92.6,148,107,90,71,2.81E-09,3.79E-09,
33.2,90.95,148,107,90,71,1.95E-09,2.65E-09,
33.3,88.95,148,107,90,71,2.53E-09,3.61E-09,
33.4,89.35,148,107,90,71,2.20E-09,3.27E-09,
33.5,135.4,148,107,90,71,3.79E-09,1.03E-08,
33.6,112,148,107,90,71,4.41E-09,7.37E-09,
33.7,101.15,148,107,90,71,2.42E-09,3.40E-09,
33.8,106,147.7,106.85,89.85,70.7,2.25E-09,5.50E-09,
33.9,94.5,146,106,89,69,2.11E-09,4.44E-09,
34,89.95,146,106,89,69,2.87E-09,3.93E-09,
34.1,88.9,146,106,89,69,2.18E-09,4.36E-09,
34.2,86.5,146,106,89,69,1.90E-09,5.57E-09,
34.3,112.85,146,106,89,69,1.99E-09,3.49E-09,
34.4,123.8,146,106,89,69,5.66E-09,1.25E-08,
34.5,101.65,146,106,89,69,3.58E-09,7.15E-09,
34.6,102.1,146,106,89,69,2.25E-09,4.47E-09,
34.7,98.1,146,106,89,69,1.74E-09,6.13E-09,
34.8,89.45,146.9,105.1,88.55,68.1,2.16E-09,3.61E-09,
34.9,88.25,148,104,88,67,2.07E-09,3.35E-09,
35,87,148,104,88,67,1.57E-09,3.99E-09,
35.1,121.95,148,104,88,67,2.52E-09,7.67E-09,
35.2,120.15,148,104,88,67,6.04E-09,8.82E-09,
35.3,100.95,148,104,88,67,3.51E-09,7.57E-09,
35.4,101.55,148,104,88,67,2.16E-09,5.70E-09,
35.5,96.15,148,104,88,67,2.55E-09,5.24E-09,
35.6,88.65,148.8,101.6,87.2,70.2,2.60E-09,4.45E-09,
35.7,87.9,149,101,87,71,2.18E-09,3.31E-09,
35.8,88.45,149,101,87,71,1.73E-09,3.00E-09,
35.9,134.8,149,101,87,71,4.31E-09,7.74E-09,
36,113.15,149,101,87,71,4.08E-09,1.08E-08,
36.1,100.6,149,101,87,71,3.57E-09,6.66E-09,
36.2,104.95,149,101,87,71,2.05E-09,7.04E-09,
36.3,94.8,149,101,87,71,2.84E-09,5.42E-09,
36.4,89.7,147.2,101,86.1,75.5,2.74E-09,4.29E-09,
36.5,89.4,147,101,86,76,2.38E-09,3.49E-09,
36.6,87.6,147,101,86,76,2.21E-09,4.76E-09,
36.7,130.05,147,101,86,76,3.69E-09,1.11E-08,
36.8,114.15,147,101,86,76,5.40E-09,1.21E-08,
36.9,102.1,147,101,86,76,3.39E-09,5.78E-09,
37,101.7,147,101,86,76,1.99E-09,8.72E-09,
37.1,94.85,146.7,101,86.15,76.15,2.11E-09,6.39E-09,
37.2,87.45,145,101,87,77,2.72E-09,4.76E-09,
37.3,86.8,145,101,87,77,2.77E-09,4.12E-09,
37.4,84.5,145,101,87,77,2.36E-09,4.23E-09,
37.5,112.2,145,101,87,77,2.61E-09,4.89E-09,
37.6,125.25,145,101,87,77,6.55E-09,8.52E-09,
37.7,107.35,145,101,87,77,3.35E-09,1.11E-08,
37.8,100.9,145,101,87,77,2.84E-09,4.94E-09,
37.9,99.85,145,101,87,77,2.52E-09,6.42E-09,
38,89.3,145,101.8,87.8,74.6,2.65E-09,4.38E-09,
38.1,87.15,145,102,88,74,3.37E-09,4.59E-09,
38.2,85.55,145,102,88,74,2.68E-09,5.00E-09,
38.3,94.4,145,102,88,74,1.28E-09,2.83E-09,
38.4,134.15,145,102,88,74,6.73E-09,9.08E-09,
38.5,108.95,145,102,88,74,3.92E-09,6.93E-09,
38.6,99.4,145,102,88,74,3.24E-09,5.52E-09,
38.7,102.75,145,102,88,74,2.06E-09,5.46E-09,
38.8,91.45,145,100.3,86.3,72.3,2.04E-09,3.06E-09,
38.9,87.35,145,100,86,72,2.07E-09,5.46E-09,
39,86.35,145,100,86,72,2.30E-09,2.49E-09,
39.1,84.85,145,100,86,72,2.33E-09,3.19E-09,
39.2,127.8,145,100,86,72,3.67E-09,6.99E-09,
39.3,113.85,145,100,86,72,5.82E-09,6.89E-09,
39.4,100.35,145,100,86,72,2.79E-09,3.72E-09,
39.5,102.9,145,100,86,72,1.90E-09,5.29E-09,
39.6,94.7,142.5,100,84.5,72,2.93E-09,6.04E-09,
39.7,88.1,140,100,83,72,2.46E-09,3.22E-09,
39.8,86.95,140,100,83,72,2.14E-09,3.13E-09,
39.9,85.9,140,100,83,72,2.48E-09,3.09E-09,
40,125.45,140,100,83,72,3.92E-09,7.18E-09,
40.1,108.75,140,100,83,72,5.05E-09,1.14E-08,
40.2,94.75,140,100,83,72,2.44E-09,4.19E-09,
40.3,101.75,140,100,83,72,1.85E-09,5.78E-09,
40.4,91.3,140.1,100,83.05,71.95,1.65E-09,5.09E-09,
40.5,86.7,142,100,84,71,2.20E-09,2.80E-09,
40.6,85.6,142,100,84,71,2.14E-09,3.56E-09,
40.7,102.7,142,100,84,71,1.92E-09,3.65E-09,
40.8,128.3,142,100,84,71,6.80E-09,1.42E-08,
40.9,102.35,142,100,84,71,3.96E-09,7.06E-09,
41,100.1,142,100,84,71,2.24E-09,3.86E-09,
41.1,99.8,142,100,84,71,2.55E-09,3.55E-09,
41.2,89.4,142.45,100,84.15,71.75,2.59E-09,3.71E-09,
41.3,88.35,145,100,85,76,3.07E-09,3.13E-09,
