Column1,Column2,Column3,Column4,Column5
Interval=,0.05 s,,,
ExcelDateTime=,4.4355478776009855e+004,8/06/2021 11:29:26.247252,,
TimeFormat=,StartOfBlock,,,
DateFormat=,,,,
ChannelTitle=,TCD,DCS/trNIRS,ECG,HR
Range=,10.000 V,5.000 V,20.000 mV,105.5050 BPM
UnitName=,cm/s,*,*,*
TopValue=,160.00,*,*,*
BottomValue=,-160.00,*,*,*
66.95,88.0232,5.004778,0.002600228,70.32005
67,80.1946,5.004744,-0.05648847,70.32005
67.05,80.6006,5.004831,-0.04529348,70.32005
67.1,68.4264,5.004775,-0.04206142,70.32005
67.15,65.1797,5.00475,-0.04034695,70.32005
67.2,64.7914,5.004606,-0.04630976,70.32005
67.25,64.7404,5.004631,-0.05025371,70.32005
67.3,63.083,5.004697,-0.0430553,70.32005
67.35,57.4076,5.004719,-0.04366335,70.32005
67.4,53.5542,5.004525,-0.01775966,70.32005
67.45,51.3238,5.004481,-0.05748989,70.32005
67.5,50.2524,5.00465,0.2038351,70.51951
67.55,49.6303,5.004575,-0.06934945,70.91845
67.6,48.0592,5.004509,-0.04645025,70.91845
67.65,46.8527,5.004566,-0.02856257,70.91845
67.7,59.3784,5.004553,0.01969057,70.91845
67.75,83.5416,5.004572,0.1251624,70.91845
67.8,83.7462,5.004566,-0.02150214,70.91845
67.85,75.0502,5.004503,-0.09753316,70.91845
67.9,76.1335,5.004541,-0.09150558,70.91845
67.95,63.9709,5.004547,-0.08201336,70.91845
68,62.4514,5.004641,-0.0789901,70.91845
68.05,65.2245,5.004503,-0.08040055,70.91845
68.1,61.4248,5.004541,-0.08028133,70.91845
68.15,59.6225,5.00455,-0.07512293,70.91845
68.2,55.5458,5.004612,-0.06468902,70.91845
68.25,53.0641,5.004612,-0.04515167,70.91845
68.3,50.8641,5.004562,-0.06581776,70.91845
68.35,48.6752,5.004559,0.186405,71.46819
68.4,48.5132,5.004494,-0.07014378,72.56769
68.45,46.2604,5.004569,-0.04122368,72.56769
68.5,46.5606,5.004528,-0.01167683,72.56769
68.55,62.6958,5.004559,0.05327311,72.56769
68.6,83.1029,5.004597,0.1521977,72.56769
68.65,81.7736,5.004587,-0.0119536,72.56769
68.7,73.5904,5.004456,-0.06826608,72.56769
68.75,70.368,5.004544,-0.05518451,72.56769
68.8,61.8994,5.004509,-0.04206878,72.56769
68.85,60.3339,5.004606,-0.03292974,72.56769
68.9,62.7121,5.004572,-0.03184983,72.56769
68.95,59.1676,5.004625,-0.032424,72.56769
69,56.6214,5.004591,-0.02069651,72.56769
69.05,54.4195,5.0046,0.001808628,72.56769
69.1,51.2902,5.004641,-0.003075161,72.56769
69.15,49.9544,5.004625,0.2247666,71.64858
69.2,47.7925,5.00455,-0.005186566,69.81035
69.25,47.6325,5.004541,-0.007571835,69.81035
69.3,45.7017,5.004488,0.0106775,69.81035
69.35,52.089,5.004597,0.03444489,69.81035
69.4,79.2991,5.004528,0.1317585,69.81035
69.45,86.6785,5.004581,0.113618,69.81035
69.5,79.0971,5.003828,-0.02845012,69.81035
69.55,73.2963,5.004609,-0.04424061,69.81035
69.6,70.7979,5.004581,-0.02927548,69.81035
69.65,61.5962,5.003806,-0.02897848,69.81035
69.7,62.5994,5.004341,-0.02722321,69.81035
69.75,63.1975,5.004472,-0.02814621,69.81035
69.8,59.9551,5.004566,-0.02866028,69.81035
69.85,57.0669,5.004544,-0.02521913,69.81035
69.9,53.3271,5.004622,-0.01490512,69.81035
69.95,51.424,5.004647,-0.01516008,69.81035
70,50.3595,5.004525,0.0734822,69.81035
70.05,49.6789,5.004419,0.09612723,69.44621
70.1,50.1752,5.004612,-0.03823613,68.71793
70.15,47.0876,5.004391,-0.021506,68.71793
70.2,49.3764,5.004353,-0.0007649331,68.71793
70.25,76.1823,5.004544,0.07068544,68.71793
70.3,86.9451,5.004497,0.1216464,68.71793
70.35,81.7162,5.004634,-0.0428391,68.71793
70.4,76.1892,5.004744,-0.07310848,68.71793
70.45,73.2365,5.004688,-0.06989437,68.71793
70.5,63.5232,5.004547,-0.06522449,68.71793
70.55,62.2879,5.004581,-0.06968096,68.71793
70.6,64.1849,5.004675,-0.07295981,68.71793
70.65,61.2522,5.004584,-0.0677353,68.71793
70.7,58.0026,5.004644,-0.06528742,68.71793
70.75,54.3938,5.004656,-0.06135421,68.71793
70.8,52.216,5.004591,-0.0312346,68.71793
70.85,49.9323,5.004566,-0.05722679,68.71793
70.9,48.7215,5.0046,0.2028096,69.38667
70.95,49.0814,5.004566,-0.084163,70.72415
71,46.3179,5.004556,-0.04428488,70.72415
71.05,44.0207,5.004559,-0.02635693,70.72415
71.1,58.3365,5.004569,0.02426518,70.72415
71.15,81.9552,5.004334,0.1361369,70.72415
71.2,84.4612,5.004578,0.02511657,70.72415
71.25,72.8613,5.004528,-0.07261589,70.72415
71.3,70.5384,5.004581,-0.07352195,70.72415
71.35,62.9875,5.004637,-0.06333956,70.72415
71.4,59.406,5.004556,-0.05525182,70.72415
71.45,63.181,5.004531,-0.05047466,70.72415
71.5,60.7825,5.004541,-0.05363067,70.72415
71.55,57.1353,5.004547,-0.04542442,70.72415
71.6,53.608,5.004591,-0.04406179,70.72415
71.65,50.7543,5.004609,-0.01173068,70.72415
71.7,49.1297,5.004581,-0.03941629,70.72415
71.75,48.1524,5.004653,0.2355802,70.91542
71.8,47.3362,5.004581,-0.06358278,71.29799
71.85,44.8158,5.004697,-0.01715093,71.29799
71.9,43.741,5.004628,0.00790333,71.29799
71.95,56.6359,5.004659,0.05648328,71.29799
72,80.0146,5.004644,0.1694308,71.29799
72.05,82.9216,5.004631,0.04545671,71.29799
72.1,69.9391,5.004684,-0.05041748,71.29799
72.15,68.0036,5.004738,-0.04707839,71.29799
72.2,60.6625,5.004688,-0.0361414,71.29799
72.25,57.2626,5.004697,-0.02751832,71.29799
72.3,61.1019,5.004637,-0.0295327,71.29799
72.35,59.1947,5.004641,-0.02835831,71.29799
72.4,55.0774,5.004659,-0.02338158,71.29799
72.45,52.91,5.004569,-0.01698266,71.29799
72.5,49.2889,5.004612,0.008635148,71.29799
72.55,47.2125,5.00465,-0.02569834,71.29799
72.6,46.0191,5.004672,0.2410758,70.3999
72.65,46.1208,5.004678,-0.02973943,68.60374
72.7,43.268,5.004625,-0.01394383,68.60374
72.75,44.3491,5.004641,0.008463961,68.60374
72.8,65.5337,5.004559,0.05908646,68.60374
72.85,84.1392,5.004575,0.1559183,68.60374
72.9,81.6733,5.004597,0.007384871,68.60374
72.95,72.6838,5.004581,-0.06504329,68.60374
73,71.664,5.004575,-0.05644582,68.60374
73.05,63.9404,5.004544,-0.04787,68.60374
73.1,58.7237,5.00465,-0.04458069,68.60374
73.15,60.2105,5.004628,-0.04726541,68.60374
73.2,59.6347,5.004728,-0.05123556,68.60374
73.25,56.764,5.004622,-0.04521673,68.60374
73.3,52.3181,5.004631,-0.04631074,68.60374
73.35,50.8673,5.004615,-0.02070616,68.60374
73.4,48.8309,5.004634,-0.03818912,68.60374
73.45,47.2926,5.004666,0.1886889,68.823
73.5,46.1873,5.004634,-0.03894818,69.26153
73.55,45.6134,5.004547,-0.04203039,69.26153
73.6,42.5957,5.004678,-0.0268937,69.26153
73.65,51.0268,5.004678,0.0006848764,69.26153
73.7,79.8519,5.004684,0.0897394,69.26153
73.75,85.9011,5.004644,0.08865048,69.26153
73.8,76.9374,5.004706,-0.06710948,69.26153
73.85,70.7929,5.004684,-0.07785547,69.26153
73.9,69.3518,5.004672,-0.07062145,69.26153
73.95,60.2763,5.004547,-0.06315339,69.26153
74,59.834,5.004653,-0.07022685,69.26153
74.05,60.8935,5.004509,-0.07605671,69.26153
74.1,56.8103,5.004662,-0.07500502,69.26153
