Interval=	0.05 s
ExcelDateTime=	4.4588648064983885e+004	27/01/2022 15:33:12.814608
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	BraBP	TCD (cm/s)	ETCO2	LBNP Pressure	MAP
Range=	10.000 V	10.000 V	100.0000 mmHg	200.0 mV	100.0000 mmHg
UnitName=	mmHg	cm/s	*	*	*
TopValue=	621.60	160	*	*	*
BottomValue=	-584.98	-160	*	*	*
36.95	73.20961	58.1164	0.2522349	1.9395	82.45786
37	72.32805	56.19049	0.2522349	1.939125	82.45786
37.05	71.52416	72.67589	0.2522349	1.938375	82.45786
37.1	70.55738	108.5226	0.2522349	1.93525	82.45786
37.15	71.00532	96.60973	0.2522349	1.935875	82.45786
37.2	93.45534	91.73592	0.2522349	1.93425	82.45786
37.25	104.4522	88.37162	0.254584	1.931875	82.32517
37.3	101.3064	80.25638	0.2592822	1.93475	82.05981
37.35	93.5285	75.26822	0.2592822	1.93025	82.05981
37.4	87.33343	77.16121	0.2592822	1.931875	82.05981
37.45	82.10742	75.26872	0.2592822	1.935375	82.05981
37.5	82.79441	74.18591	0.2592822	1.93125	82.05981
37.55	85.29054	73.58192	0.2592822	1.926625	82.05981
37.6	84.44442	70.39461	0.2592822	1.930625	82.05981
37.65	81.79898	66.7817	0.2592822	1.931875	82.05981
37.7	79.04721	63.89743	0.2592822	1.9295	82.05981
37.75	76.86593	60.82658	0.2592822	1.922625	82.05981
37.8	75.2476	59.26024	0.2592822	1.924625	82.05981
37.85	73.77217	59.14178	0.2592822	1.93025	82.05981
37.9	72.65495	54.62294	0.2592822	1.9245	82.05981
37.95	71.78772	61.96542	0.2592822	1.926375	82.05981
38	71.07923	102.7506	0.2592822	1.932375	82.05981
38.05	70.01932	103.1077	0.2592822	1.9295	82.05981
38.1	72.54221	91.85867	0.2592822	1.932875	82.05981
38.15	98.12784	88.37083	0.2592822	1.93375	81.97102
38.2	102.9116	82.84031	0.2592822	1.934625	81.79344
38.25	98.50452	70.45614	0.2592822	1.92875	81.79344
38.3	91.0927	78.75367	0.2592822	1.926125	81.79344
38.35	85.36896	78.75747	0.2592822	1.93175	81.79344
38.4	81.30994	73.52449	0.2624144	1.926875	81.79344
38.45	82.28915	73.64355	0.2686787	1.927	81.79344
38.5	84.43084	71.60049	0.2686787	1.922	81.79344
38.55	83.57643	66.54029	0.2686787	1.92725	81.79344
38.6	81.10632	63.89924	0.2686787	1.931625	81.79344
38.65	78.36323	68.95023	0.2686787	1.92475	81.79344
38.7	76.34786	61.12572	0.2686787	1.93425	81.79344
38.75	74.74046	57.99444	0.2686787	1.939375	81.79344
38.8	73.39512	60.70232	0.2686787	1.93875	81.79344
38.85	72.33596	98.02659	0.2686787	1.935125	81.79344
38.9	71.50342	104.4618	0.2686787	1.93475	81.79344
38.95	70.56869	91.92051	0.2686787	1.9355	81.79344
39	69.8636	91.25829	0.2686787	1.93375	81.79344
39.05	83.91239	85.3648	0.2686787	1.93475	81.79344
39.1	103.9319	77.01004	0.2686787	1.92625	81.92939
39.15	100.4456	82.90093	0.2686787	1.92875	82.20128
39.2	92.35735	84.52321	0.2686787	1.93375	82.20128
39.25	86.48317	78.75367	0.2631974	1.937375	82.20128
39.3	80.86652	76.22737	0.2522349	1.9325	82.20128
39.35	80.27265	72.74182	0.2522349	1.92775	82.20128
39.4	83.64355	69.01016	0.2522349	1.931375	82.20128
39.45	84.1209	68.64818	0.2522349	1.9275	82.20128
39.5	81.86006	66.12129	0.2522349	1.93075	82.20128
39.55	79.01516	64.31874	0.2522349	1.931375	82.20128
39.6	76.77318	61.12703	0.2522349	1.935875	82.20128
39.65	75.23931	85.66684	0.2522349	1.936625	82.20128
39.7	74.07194	109.0659	0.2522349	1.938	82.20128
39.75	72.97847	98.59386	0.2522349	1.933375	82.20128
39.8	71.7964	97.93555	0.2522349	1.936625	82.20128
39.85	70.62827	93.36179	0.2522349	1.938	82.20128
39.9	82.05727	79.95584	0.2522349	1.93625	82.20128
39.95	105.2075	80.31741	0.2522349	1.937875	83.01554
40	102.4369	86.44821	0.2522349	1.938375	84.64407
40.05	95.14909	79.59747	0.2522349	1.93125	84.64407
40.1	89.27604	77.43134	0.2522349	1.93075	84.64407
40.15	83.11491	74.18511	0.2522349	1.937125	84.64407
40.2	82.11232	71.78007	0.2522349	1.93825	84.64407
40.25	85.46926	69.25197	0.2522349	1.9395	84.64407
40.3	86.00091	66.66315	0.2522349	1.93925	84.64407
40.35	83.47538	64.49742	0.2522349	1.937375	84.64407
40.4	80.53848	61.54922	0.2522349	1.92975	84.64407
40.45	78.33835	66.96369	0.2491027	1.93025	84.64407
40.5	76.89836	101.6046	0.2428384	1.925875	84.64407
40.55	75.77926	102.536	0.2428384	1.9245	84.64407
40.6	74.20391	98.0533	0.2428384	1.926625	84.64407
40.65	72.58105	98.23319	0.2428384	1.929125	84.64407
40.7	78.61888	84.76472	0.2428384	1.93225	84.64407
40.75	105.5204	80.19775	0.2428384	1.932125	85.04269
40.8	105.1977	83.44379	0.2428384	1.928375	85.83991
40.85	100.4249	82.72245	0.2428384	1.924	85.83991
